state,metropolitan_nonmetropolitan,county,violent_crime,murder_and_nonnegligent_manslaughter,rape,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson,year
ARKANSAS,Nonmetropolitan County,Clark,12,0,1,0,11,31,9,20,2,1,2024
ARKANSAS,Nonmetropolitan County,Clay,35,0,3,0,32,28,8,16,4,0,2024
ARKANSAS,Nonmetropolitan County,Cleburne,140,4,21,2,113,257,82,162,13,2,2024
ARKANSAS,Nonmetropolitan County,Cleveland,15,0,2,0,13,38,16,12,10,0,2024
ARKANSAS,Nonmetropolitan County,Columbia,29,0,1,0,28,48,12,30,6,0,2024
ARKANSAS,Nonmetropolitan County,Conway,47,0,5,0,42,113,20,78,15,2,2024
ARKANSAS,Nonmetropolitan County,Dallas,15,4,1,1,9,23,4,17,2,0,2024
ARKANSAS,Nonmetropolitan County,Desha,9,0,1,0,8,30,8,21,1,0,2024
ARKANSAS,Nonmetropolitan County,Drew,20,0,4,1,15,56,19,29,8,0,2024
ARKANSAS,Nonmetropolitan County,Franklin,40,0,11,0,29,61,23,29,9,1,2024
ARKANSAS,Nonmetropolitan County,Fulton,32,2,7,0,23,68,9,50,9,3,2024
ARKANSAS,Nonmetropolitan County,Greene,75,0,4,0,71,145,21,101,23,0,2024
ARKANSAS,Nonmetropolitan County,Hempstead,47,1,3,0,43,94,11,78,5,1,2024
ARKANSAS,Nonmetropolitan County,Howard,8,0,2,0,6,26,3,22,1,0,2024
ARKANSAS,Nonmetropolitan County,Independence,87,0,22,1,64,233,49,158,26,5,2024
ARKANSAS,Nonmetropolitan County,Izard,55,0,4,0,51,47,30,15,2,0,2024
ARKANSAS,Nonmetropolitan County,Jackson,23,0,6,0,17,58,4,38,16,0,2024
ARKANSAS,Nonmetropolitan County,Jefferson,76,2,9,2,63,321,72,184,65,3,2024
ARKANSAS,Nonmetropolitan County,Johnson,46,1,10,0,35,49,9,32,8,1,2024
ARKANSAS,Nonmetropolitan County,Lafayette,13,0,5,0,8,18,1,14,3,0,2024
ARKANSAS,Nonmetropolitan County,Lawrence,27,0,5,0,22,72,12,51,9,0,2024
ARKANSAS,Nonmetropolitan County,Lee,9,0,0,0,9,31,3,18,10,0,2024
ARKANSAS,Nonmetropolitan County,Lincoln,13,0,1,1,11,66,22,31,13,0,2024
ARKANSAS,Nonmetropolitan County,Logan,58,1,5,0,52,142,42,82,18,0,2024
ARKANSAS,Nonmetropolitan County,Marion,24,0,12,1,11,84,17,63,4,3,2024
ARKANSAS,Nonmetropolitan County,Mississippi,42,0,6,2,34,192,30,128,34,3,2024
ARKANSAS,Nonmetropolitan County,Monroe,7,0,3,0,4,26,2,19,5,0,2024
ARKANSAS,Nonmetropolitan County,Montgomery,15,0,4,1,10,11,7,4,0,0,2024
ARKANSAS,Nonmetropolitan County,Newton,18,0,6,0,12,38,5,29,4,0,2024
ARKANSAS,Nonmetropolitan County,Ouachita,39,1,6,3,29,124,47,60,17,2,2024
ARKANSAS,Nonmetropolitan County,Phillips,10,0,2,0,8,31,5,19,7,0,2024
ARKANSAS,Nonmetropolitan County,Pike,6,1,0,0,5,27,10,15,2,0,2024
ARKANSAS,Nonmetropolitan County,Polk,57,0,3,0,54,29,11,18,0,0,2024
ARKANSAS,Nonmetropolitan County,Pope,110,0,16,1,93,153,49,84,20,0,2024
ARKANSAS,Nonmetropolitan County,Prairie,38,0,3,0,35,40,17,17,6,2,2024
ARKANSAS,Nonmetropolitan County,Randolph,28,0,8,0,20,95,18,62,15,3,2024
ARKANSAS,Nonmetropolitan County,Scott,8,0,2,0,6,35,13,20,2,1,2024
ARKANSAS,Nonmetropolitan County,Searcy,23,1,2,0,20,21,13,6,2,0,2024
ARKANSAS,Nonmetropolitan County,Sevier,22,0,7,1,14,20,5,13,2,0,2024
ARKANSAS,Nonmetropolitan County,Sharp,35,0,12,1,22,79,11,62,6,0,2024
ARKANSAS,Nonmetropolitan County,Stone,29,0,0,0,29,56,9,43,4,3,2024
ARKANSAS,Nonmetropolitan County,Union,81,0,4,5,72,189,46,113,30,2,2024
ARKANSAS,Nonmetropolitan County,Van Buren,81,0,23,0,58,131,23,91,17,5,2024
ARKANSAS,Nonmetropolitan County,White,211,3,67,2,139,412,90,266,56,8,2024
ARKANSAS,Nonmetropolitan County,Woodruff,10,0,0,0,10,27,8,10,9,1,2024
ARKANSAS,Nonmetropolitan County,Yell,47,1,6,0,40,45,5,35,5,3,2024
CALIFORNIA,Metropolitan County,Alameda,776,8,34,196,538,2182,257,1212,713,27,2024
CALIFORNIA,Metropolitan County,Butte,362,5,46,21,290,652,169,461,22,3,2024
CALIFORNIA,Metropolitan County,Contra Costa,479,2,36,71,370,2333,959,1295,79,16,2024
CALIFORNIA,Metropolitan County,El Dorado,281,0,57,19,205,786,119,643,24,9,2024
CALIFORNIA,Metropolitan County,Fresno,1174,10,42,113,1009,2857,805,1268,784,2,2024
CALIFORNIA,Metropolitan County,Imperial,108,3,12,6,87,267,77,155,35,20,2024
CALIFORNIA,Metropolitan County,Kern,3160,40,177,353,2590,7085,1738,3155,2192,271,2024
CALIFORNIA,Metropolitan County,Kings,154,0,7,9,138,401,74,298,29,0,2024
CALIFORNIA,Metropolitan County,Los Angeles,5909,68,260,1424,4157,17982,3168,9400,5414,258,2024
CALIFORNIA,Metropolitan County,Madera,338,2,31,21,284,980,69,855,56,14,2024
CALIFORNIA,Metropolitan County,Marin,79,0,6,20,53,403,54,345,4,2,2024
CALIFORNIA,Metropolitan County,Merced,365,4,49,52,260,1383,365,729,289,9,2024
CALIFORNIA,Metropolitan County,Monterey,394,2,34,53,305,712,173,503,36,9,2024
CALIFORNIA,Metropolitan County,Napa,74,1,8,3,62,158,28,126,4,1,2024
CALIFORNIA,Metropolitan County,Orange,423,1,4,33,385,894,126,574,194,13,2024
CALIFORNIA,Metropolitan County,Placer,357,3,50,23,281,851,140,666,45,12,2024
CALIFORNIA,Metropolitan County,Riverside,998,15,74,153,756,5963,1124,3817,1022,38,2024
CALIFORNIA,Metropolitan County,Sacramento,2825,28,184,629,1984,8631,2869,5666,96,48,2024
CALIFORNIA,Metropolitan County,San Benito,62,1,2,5,54,133,20,95,18,2,2024
CALIFORNIA,Metropolitan County,San Bernardino,1505,27,113,159,1206,3474,868,1649,957,77,2024
CALIFORNIA,Metropolitan County,San Diego,1265,9,45,128,1083,2453,448,1237,768,30,2024
CALIFORNIA,Metropolitan County,San Joaquin,776,5,71,151,549,1849,452,1252,145,42,2024
CALIFORNIA,Metropolitan County,San Luis Obispo,569,1,56,12,500,566,223,327,16,2,2024
CALIFORNIA,Metropolitan County,San Mateo,239,1,49,61,128,1630,262,1145,223,10,2024
CALIFORNIA,Metropolitan County,Santa Barbara,298,1,45,23,229,941,212,697,32,9,2024
CALIFORNIA,Metropolitan County,Santa Clara,274,0,37,24,213,1435,178,915,342,1,2024
CALIFORNIA,Metropolitan County,Santa Cruz,282,3,27,30,222,995,216,758,21,19,2024
CALIFORNIA,Metropolitan County,Shasta,272,1,44,16,211,517,142,342,33,8,2024
CALIFORNIA,Metropolitan County,Solano,125,1,17,14,93,396,205,127,64,8,2024
CALIFORNIA,Metropolitan County,Sonoma,274,3,65,32,174,745,213,517,15,16,2024
CALIFORNIA,Metropolitan County,Stanislaus,383,3,21,86,273,878,327,536,15,10,2024
CALIFORNIA,Metropolitan County,Sutter,116,0,20,12,84,383,68,274,41,11,2024
CALIFORNIA,Metropolitan County,Tulare,703,10,61,77,555,1687,350,1259,78,1,2024
CALIFORNIA,Metropolitan County,Ventura,174,4,29,17,124,603,146,381,76,7,2024
CALIFORNIA,Metropolitan County,Yolo,42,0,7,6,29,211,64,124,23,2,2024
CALIFORNIA,Metropolitan County,Yuba,359,2,44,23,290,483,112,354,17,12,2024
CALIFORNIA,Nonmetropolitan County,Alpine,12,0,2,0,10,21,2,18,1,0,2024
CALIFORNIA,Nonmetropolitan County,Amador,82,0,12,5,65,182,22,156,4,3,2024
CALIFORNIA,Nonmetropolitan County,Calaveras,161,1,24,12,124,418,83,318,17,5,2024
CALIFORNIA,Nonmetropolitan County,Colusa,20,1,5,2,12,96,16,77,3,0,2024
CALIFORNIA,Nonmetropolitan County,Del Norte,49,1,10,5,33,93,39,49,5,4,2024
CALIFORNIA,Nonmetropolitan County,Glenn,101,0,7,3,91,277,167,96,14,3,2024
CALIFORNIA,Nonmetropolitan County,Humboldt,202,2,35,29,136,568,169,382,17,15,2024
CALIFORNIA,Nonmetropolitan County,Inyo,96,1,9,5,81,57,17,40,0,5,2024
CALIFORNIA,Nonmetropolitan County,Lake,291,2,26,11,252,365,21,321,23,5,2024
CALIFORNIA,Nonmetropolitan County,Lassen,47,0,8,3,36,119,52,61,6,2,2024
CALIFORNIA,Nonmetropolitan County,Mariposa,94,0,9,2,83,177,62,114,1,2,2024
CALIFORNIA,Nonmetropolitan County,Mendocino,185,4,13,3,165,72,0,61,11,20,2024
CALIFORNIA,Nonmetropolitan County,Modoc,21,2,2,2,15,27,16,11,0,0,2024
CALIFORNIA,Nonmetropolitan County,Mono,15,0,5,0,10,27,2,25,0,0,2024
CALIFORNIA,Nonmetropolitan County,Nevada,168,1,27,8,132,302,111,174,17,7,2024
CALIFORNIA,Nonmetropolitan County,Sierra,15,0,0,1,14,18,6,11,1,5,2024
CALIFORNIA,Nonmetropolitan County,Siskiyou,72,1,7,0,64,32,20,12,0,0,2024
CALIFORNIA,Nonmetropolitan County,Tehama,121,3,30,18,70,282,135,126,21,0,2024
CALIFORNIA,Nonmetropolitan County,Trinity,82,0,2,4,76,140,63,74,3,8,2024
CALIFORNIA,Nonmetropolitan County,Tuolumne,230,1,49,7,173,358,103,249,6,0,2024
COLORADO,Metropolitan County,Adams,440,6,53,53,328,2180,320,1108,752,25,2024
COLORADO,Metropolitan County,Arapahoe,332,2,17,34,279,1930,406,1041,483,23,2024
COLORADO,Metropolitan County,Boulder,85,0,9,3,73,760,173,505,82,6,2024
